article_key,article_number_current,tracking_type,boe_structure_status,uploaded_candidate_status,action_needed,reconciliation_impact,owner_decision_needed_flag,resolution_status,notes
labor_law_art_214,214,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_215,215,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_216,216,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_217,217,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_218,218,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_219,219,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_220,220,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_221,221,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_222,222,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_223,223,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_224,224,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_225,225,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_226,226,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_227,227,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_228,228,DELETED_OR_ABOLISHED_CONFIRMED,DELETED_OR_ABOLISHED_MARKER,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_deleted_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_abolished_by_amendment; structural flag only
labor_law_art_035,35,RENUMBERED_CONFIRMED,RENUMBERED_ENTRY,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_renumbered_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_renumbered_by_amendment via M/44; structural flag only
labor_law_art_058,58,RENUMBERED_CONFIRMED,RENUMBERED_ENTRY,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_renumbered_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_renumbered_by_amendment; structural flag only
labor_law_art_178,178,RENUMBERED_CONFIRMED,RENUMBERED_ENTRY,not_checked,CARRY_FORWARD_TO_RECONCILIATION,affects_renumbered_article_handling,no,CARRIED_FORWARD,Amendment tracking shows article_renumbered_by_amendment via M/44; structural flag only
