article_key,article_number_current,article_number_ar,article_number_previous_if_any,mukarrar_flag,deleted_or_abolished_flag,chapter_number,chapter_title_ar,section_title_ar_if_any,official_source_url,official_source_access_date,official_article_present_flag,official_text_capture_status,uploaded_candidate_line_reference,uploaded_candidate_issue_flag,amendment_notes_present_flag,amendment_count,m44_related_flag,reconciliation_status,unresolved_issue_flag,reviewer_notes,official_english_translation_reference_available,english_translation_page_reference_if_used,english_translation_appendix_reference_if_used,english_reference_note,arabic_source_still_governs_flag
labor_law_art_011,11,المادة الحادية عشرة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,NEEDS_MANUAL_CAPTURE,,not_checked,yes,2,no,DO_NOT_INGEST,needs_manual_check,Batch 001 fix: amended article; BOE main DOM may be original/base text; amendment shown through popup; current consolidated text not safely captured; needs manual review before future ingestion,yes,,,,yes
labor_law_art_012,12,المادة الثانية عشرة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,NEEDS_MANUAL_CAPTURE,,not_checked,yes,1,no,DO_NOT_INGEST,needs_manual_check,Batch 001 fix: amended article; BOE main DOM may be original/base text; amendment shown through popup; current consolidated text not safely captured; needs manual review before future ingestion,yes,,,,yes
labor_law_art_013,13,المادة الثالثة عشرة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,NEEDS_MANUAL_CAPTURE,,not_checked,yes,1,no,DO_NOT_INGEST,needs_manual_check,Batch 001 fix: amended article; BOE main DOM may be original/base text; amendment shown through popup; current consolidated text not safely captured; needs manual review before future ingestion,yes,,,,yes
labor_law_art_014,14,المادة الرابعة عشرة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,NEEDS_MANUAL_CAPTURE,,not_checked,yes,1,no,DO_NOT_INGEST,needs_manual_check,Batch 001 fix: amended article; BOE main DOM may be original/base text; amendment shown through popup; current consolidated text not safely captured; needs manual review before future ingestion,yes,,,,yes
labor_law_art_015,15,المادة الخامسة عشرة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,OFFICIAL_TEXT_CAPTURED_BATCH,,not_checked,no,,no,TEXT_RECONCILED_BATCH_001,no,Batch 001: BOE official Arabic text captured,yes,,,,yes
labor_law_art_016,16,المادة السادسة عشرة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,OFFICIAL_TEXT_CAPTURED_BATCH,,not_checked,no,,no,TEXT_RECONCILED_BATCH_001,no,Batch 001: BOE official Arabic text captured,yes,,,,yes
labor_law_art_017,17,المادة السابعة عشرة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,OFFICIAL_TEXT_CAPTURED_BATCH,,not_checked,no,,no,TEXT_RECONCILED_BATCH_001,no,Batch 001: BOE official Arabic text captured,yes,,,,yes
labor_law_art_018,18,المادة الثامنة عشرة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,OFFICIAL_TEXT_CAPTURED_BATCH,,not_checked,no,,no,TEXT_RECONCILED_BATCH_001,no,Batch 001: BOE official Arabic text captured,yes,,,,yes
labor_law_art_019,19,المادة التاسعة عشرة,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,OFFICIAL_TEXT_CAPTURED_BATCH,,not_checked,no,,no,TEXT_RECONCILED_BATCH_001,no,Batch 001: BOE official Arabic text captured,yes,,,,yes
labor_law_art_020,20,المادة العشرون,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,OFFICIAL_TEXT_CAPTURED_BATCH,,not_checked,no,,no,TEXT_RECONCILED_BATCH_001,no,Batch 001: BOE official Arabic text captured,yes,,,,yes
labor_law_art_021,21,المادة الحادية والعشرون,,no,no,1,التعريفات والأحكام العامة,الفصل الأول : التعريفات,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,OFFICIAL_TEXT_CAPTURED_BATCH,,not_checked,no,,no,TEXT_RECONCILED_BATCH_001,no,Batch 001: BOE official Arabic text captured,yes,,,,yes
labor_law_art_022,22,المادة الثانية والعشرون,,no,no,2,تنظيم عمليات التوظيف,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,NEEDS_MANUAL_CAPTURE,,not_checked,yes,1,yes,DO_NOT_INGEST,needs_manual_check,Batch 001 fix: amended article; BOE main DOM may be original/base text; amendment shown through popup; current consolidated text not safely captured; needs manual review before future ingestion,yes,,,,yes
labor_law_art_023,23,المادة الثالثة والعشرون,,no,no,2,تنظيم عمليات التوظيف,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,NEEDS_MANUAL_CAPTURE,,not_checked,yes,1,yes,DO_NOT_INGEST,needs_manual_check,Batch 001 fix: amended article; BOE main DOM may be original/base text; amendment shown through popup; current consolidated text not safely captured; needs manual review before future ingestion,yes,,,,yes
labor_law_art_024,24,المادة الرابعة والعشرون,,no,no,2,تنظيم عمليات التوظيف,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,NEEDS_MANUAL_CAPTURE,,not_checked,yes,1,yes,DO_NOT_INGEST,needs_manual_check,Batch 001 fix: amended article; BOE main DOM may be original/base text; amendment shown through popup; current consolidated text not safely captured; needs manual review before future ingestion,yes,,,,yes
labor_law_art_025,25,المادة الخامسة والعشرون,,no,no,2,تنظيم عمليات التوظيف,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,NEEDS_MANUAL_CAPTURE,,not_checked,yes,1,yes,DO_NOT_INGEST,needs_manual_check,Batch 001 fix: amended article; BOE main DOM may be original/base text; amendment shown through popup; current consolidated text not safely captured; needs manual review before future ingestion,yes,,,,yes
labor_law_art_026,26,المادة السادسة والعشرون,,no,no,2,تنظيم عمليات التوظيف,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,OFFICIAL_TEXT_CAPTURED_BATCH,SOURCE_LOCATED,,not_checked,no,,TEXT_RECONCILED_BATCH_002,no,Batch 002: BOE official Arabic text captured,,yes,,,,yes
labor_law_art_027,27,المادة السابعة والعشرون,,no,no,2,تنظيم عمليات التوظيف,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,NEEDS_MANUAL_CAPTURE,SOURCE_LOCATED,,not_checked,yes,1,DO_NOT_INGEST,needs_manual_check,Batch 002: amended article; BOE main DOM may be original/base text; amendment shown through popup; no generated consolidation performed; needs manual review before future ingestion,,yes,,,,yes
labor_law_art_028,28,المادة الثامنة والعشرون,,no,no,2,تنظيم عمليات التوظيف,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,NEEDS_MANUAL_CAPTURE,SOURCE_LOCATED,,not_checked,yes,1,DO_NOT_INGEST,needs_manual_check,Batch 002: amended article; BOE main DOM may be original/base text; amendment shown through popup; no generated consolidation performed; needs manual review before future ingestion,,yes,,,,yes
labor_law_art_029,29,المادة التاسعة والعشرون,,no,no,2,تنظيم عمليات التوظيف,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,OFFICIAL_TEXT_CAPTURED_BATCH,SOURCE_LOCATED,,not_checked,no,,TEXT_RECONCILED_BATCH_002,no,Batch 002: BOE official Arabic text captured,,yes,,,,yes
labor_law_art_030,30,المادة الثلاثون,,no,no,2,تنظيم عمليات التوظيف,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,NEEDS_MANUAL_CAPTURE,SOURCE_LOCATED,,not_checked,yes,1,DO_NOT_INGEST,needs_manual_check,Batch 002: amended article; BOE main DOM may be original/base text; amendment shown through popup; no generated consolidation performed; needs manual review before future ingestion,,yes,,,,yes
labor_law_art_031,31,المادة الحادية والثلاثون,,no,no,2,تنظيم عمليات التوظيف,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,NEEDS_MANUAL_CAPTURE,SOURCE_LOCATED,,not_checked,yes,1,DO_NOT_INGEST,needs_manual_check,Batch 002: amended article; BOE main DOM may be original/base text; amendment shown through popup; no generated consolidation performed; needs manual review before future ingestion,,yes,,,,yes
labor_law_art_032,32,المادة الثانية والثلاثون,,no,no,3,توظيف غير السعوديين,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,OFFICIAL_TEXT_CAPTURED_BATCH,SOURCE_LOCATED,,not_checked,no,,TEXT_RECONCILED_BATCH_002,no,Batch 002: BOE official Arabic text captured,,yes,,,,yes
labor_law_art_033,33,المادة الثالثة والثلاثون,,no,no,3,توظيف غير السعوديين,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,OFFICIAL_TEXT_CAPTURED_BATCH,SOURCE_LOCATED,,not_checked,no,,TEXT_RECONCILED_BATCH_002,no,Batch 002: BOE official Arabic text captured,,yes,,,,yes
labor_law_art_034,34,المادة الرابعة والثلاثون,,no,no,3,توظيف غير السعوديين,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,OFFICIAL_TEXT_CAPTURED_BATCH,SOURCE_LOCATED,,not_checked,no,,TEXT_RECONCILED_BATCH_002,no,Batch 002: BOE official Arabic text captured,,yes,,,,yes
labor_law_art_035,35,المادة الخامسة والثلاثون,,no,no,3,توظيف غير السعوديين,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,NEEDS_MANUAL_CAPTURE,SOURCE_LOCATED,,not_checked,yes,2,DO_NOT_INGEST,needs_manual_check,Batch 002: amended and renumbered article; BOE main DOM may be original/base text; amendment shown through popup; renumbered by amendment via M/44; no generated consolidation performed; needs manual review before future ingestion,article_renumbered_by_amendment via M/44,yes,,,,yes
labor_law_art_036,36,المادة السادسة والثلاثون,,no,no,3,توظيف غير السعوديين,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,OFFICIAL_TEXT_CAPTURED_BATCH,SOURCE_LOCATED,,not_checked,no,,TEXT_RECONCILED_BATCH_002,no,Batch 002: BOE official Arabic text captured,,yes,,,,yes
labor_law_art_037,37,المادة السابعة والثلاثون,,no,no,3,توظيف غير السعوديين,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,NEEDS_MANUAL_CAPTURE,SOURCE_LOCATED,,not_checked,yes,1,DO_NOT_INGEST,needs_manual_check,Batch 002: amended article; BOE main DOM may be original/base text; amendment shown through popup; no generated consolidation performed; needs manual review before future ingestion,,yes,,,,yes
labor_law_art_038,38,المادة الثامنة والثلاثون,,no,no,3,توظيف غير السعوديين,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,OFFICIAL_TEXT_CAPTURED_BATCH,SOURCE_LOCATED,,not_checked,no,,TEXT_RECONCILED_BATCH_002,no,Batch 002: BOE official Arabic text captured,,yes,,,,yes
labor_law_art_039,39,المادة التاسعة والثلاثون,,no,no,3,توظيف غير السعوديين,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,NEEDS_MANUAL_CAPTURE,SOURCE_LOCATED,,not_checked,yes,2,DO_NOT_INGEST,needs_manual_check,Batch 002: amended article; BOE main DOM may be original/base text; amendment shown through popup; no generated consolidation performed; needs manual review before future ingestion,,yes,,,,yes
labor_law_art_040,40,المادة الأربعون,,no,no,3,توظيف غير السعوديين,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,NEEDS_MANUAL_CAPTURE,SOURCE_LOCATED,,not_checked,yes,1,DO_NOT_INGEST,needs_manual_check,Batch 002: amended article; BOE main DOM may be original/base text; amendment shown through popup; no generated consolidation performed; needs manual review before future ingestion,,yes,,,,yes
labor_law_art_041,41,المادة الحادية والأربعون,,no,no,3,توظيف غير السعوديين,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,OFFICIAL_TEXT_CAPTURED_BATCH,SOURCE_LOCATED,,not_checked,no,,TEXT_RECONCILED_BATCH_002,no,Batch 002: BOE official Arabic text captured,,yes,,,,yes
labor_law_art_042,42,المادة الثانية والأربعون,,no,no,4,التدريب والتأهيل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,NEEDS_MANUAL_CAPTURE,SOURCE_LOCATED,,not_checked,yes,1,DO_NOT_INGEST,needs_manual_check,Batch 002: amended article; BOE main DOM may be original/base text; amendment shown through popup; no generated consolidation performed; needs manual review before future ingestion,,yes,,,,yes
labor_law_art_043,43,المادة الثالثة والأربعون,,no,no,4,التدريب والتأهيل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,NEEDS_MANUAL_CAPTURE,SOURCE_LOCATED,,not_checked,yes,2,DO_NOT_INGEST,needs_manual_check,Batch 002: amended article; BOE main DOM may be original/base text; amendment shown through popup; no generated consolidation performed; needs manual review before future ingestion,,yes,,,,yes
labor_law_art_044,44,المادة الرابعة والأربعون,,no,no,4,التدريب والتأهيل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,NEEDS_MANUAL_CAPTURE,SOURCE_LOCATED,,not_checked,yes,1,DO_NOT_INGEST,needs_manual_check,Batch 002: amended article; BOE main DOM may be original/base text; amendment shown through popup; no generated consolidation performed; needs manual review before future ingestion,,yes,,,,yes
labor_law_art_045,45,المادة الخامسة والأربعون,,no,no,4,التدريب والتأهيل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,OFFICIAL_TEXT_CAPTURED_BATCH,SOURCE_LOCATED,,not_checked,no,,TEXT_RECONCILED_BATCH_002,no,Batch 002: BOE official Arabic text captured,,yes,,,,yes
labor_law_art_046,46,المادة السادسة والأربعون,,no,no,4,التدريب والتأهيل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,NEEDS_MANUAL_CAPTURE,SOURCE_LOCATED,,not_checked,yes,1,DO_NOT_INGEST,needs_manual_check,Batch 002: amended article; BOE main DOM may be original/base text; amendment shown through popup; no generated consolidation performed; needs manual review before future ingestion,,yes,,,,yes
labor_law_art_047,47,المادة السابعة والأربعون,,no,no,4,التدريب والتأهيل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,NEEDS_MANUAL_CAPTURE,SOURCE_LOCATED,,not_checked,yes,1,DO_NOT_INGEST,needs_manual_check,Batch 002: amended article; BOE main DOM may be original/base text; amendment shown through popup; no generated consolidation performed; needs manual review before future ingestion,,yes,,,,yes
labor_law_art_048,48,المادة الثامنة والأربعون,,no,no,4,التدريب والتأهيل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,NEEDS_MANUAL_CAPTURE,SOURCE_LOCATED,,not_checked,yes,2,DO_NOT_INGEST,needs_manual_check,Batch 002: amended article; BOE main DOM may be original/base text; amendment shown through popup; no generated consolidation performed; needs manual review before future ingestion,,yes,,,,yes
labor_law_art_049,49,المادة التاسعة والأربعون,,no,no,4,التدريب والتأهيل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,OFFICIAL_TEXT_CAPTURED_BATCH,SOURCE_LOCATED,,not_checked,no,,TEXT_RECONCILED_BATCH_002,no,Batch 002: BOE official Arabic text captured,,yes,,,,yes
labor_law_art_050,50,المادة الخمسون,,no,no,5,علاقات العمل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,OFFICIAL_TEXT_CAPTURED_BATCH,SOURCE_LOCATED,,not_checked,no,,TEXT_RECONCILED_BATCH_002,no,Batch 002: BOE official Arabic text captured,,yes,,,,yes
labor_law_art_051,51,المادة الحادية والخمسون,,no,no,5,علاقات العمل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,SOURCE_LOCATED,,not_checked,yes,1,yes,SOURCE_LOCATED,no,,yes,,,,yes
labor_law_art_052,52,المادة الثانية والخمسون,,no,no,5,علاقات العمل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,SOURCE_LOCATED,,not_checked,yes,2,yes,SOURCE_LOCATED,no,,yes,,,,yes
labor_law_art_053,53,المادة الثالثة والخمسون,,no,no,5,علاقات العمل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,SOURCE_LOCATED,,not_checked,yes,2,yes,SOURCE_LOCATED,no,,yes,,,,yes
labor_law_art_054,54,المادة الرابعة والخمسون,,no,no,5,علاقات العمل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,SOURCE_LOCATED,,not_checked,yes,1,no,SOURCE_LOCATED,no,,yes,,,,yes
labor_law_art_055,55,المادة الخامسة والخمسون,,no,no,5,علاقات العمل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,SOURCE_LOCATED,,not_checked,yes,1,no,SOURCE_LOCATED,no,,yes,,,,yes
labor_law_art_056,56,المادة السادسة والخمسون,,no,no,5,علاقات العمل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,SOURCE_LOCATED,,not_checked,no,,no,SOURCE_LOCATED,no,,yes,,,,yes
labor_law_art_057,57,المادة السابعة والخمسون,,no,no,5,علاقات العمل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,SOURCE_LOCATED,,not_checked,no,,no,SOURCE_LOCATED,no,,yes,,,,yes
labor_law_art_058,58,المادة الثامنة والخمسون,,no,no,5,علاقات العمل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,SOURCE_LOCATED,,not_checked,yes,1,no,SOURCE_LOCATED,needs_manual_check,article_renumbered_by_amendment,yes,,,,yes
labor_law_art_059,59,المادة التاسعة والخمسون,,no,no,5,علاقات العمل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,SOURCE_LOCATED,,not_checked,no,,no,SOURCE_LOCATED,no,,yes,,,,yes
labor_law_art_060,60,المادة الستون,,no,no,5,علاقات العمل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,SOURCE_LOCATED,,not_checked,no,,no,SOURCE_LOCATED,no,,yes,,,,yes
labor_law_art_061,61,المادة الحادية والستون,,no,no,5,علاقات العمل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,SOURCE_LOCATED,,not_checked,yes,1,yes,SOURCE_LOCATED,no,,yes,,,,yes
labor_law_art_062,62,المادة الثانية والستون,,no,no,5,علاقات العمل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,SOURCE_LOCATED,,not_checked,no,,no,SOURCE_LOCATED,no,,yes,,,,yes
labor_law_art_063,63,المادة الثالثة والستون,,no,no,5,علاقات العمل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,SOURCE_LOCATED,,not_checked,no,,no,SOURCE_LOCATED,no,,yes,,,,yes
labor_law_art_064,64,المادة الرابعة والستون,,no,no,5,علاقات العمل,,https://laws.boe.gov.sa/boelaws/laws/lawdetails/08381293-6388-48e2-8ad2-a9a700f2aa94/1,2026-07-07,yes,SOURCE_LOCATED,,not_checked,yes,1,no,SOURCE_LOCATED,no,,yes,,,,yes
