article_id,instrument,article,function_class,function_rule_label,function_ambiguous,function_note,subtype_descriptive,completeness_class,provenance,operational_core_rank_3y,court_judgments,party_judgments,hybrid_rate,named_fiqh_rate,maxim_rate,window
commercial_courts_law:29,commercial_courts_law,29,MIXED,AMBIGUOUS,false,recording a settlement disposes of the dispute by an institutional act,other,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",19,320,10,85.9,2.8,0.0,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:110,evidence_law,110,INSTITUTIONAL_OPERATION,AMBIGUOUS,false,the appointment of an expert on technical questions,other,DUTY_OR_POWER_WITHOUT_DECISION_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",18,314,35,48.7,25.5,1.9,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_law:9,commercial_courts_law,9,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,what counts as an address for service,service_notice,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",21,312,10,23.4,12.5,7.1,contemporary_5y (1442-1446); rank column is 1444-1446
law_practice_law:26,law_practice_law,26,DISPUTE_DECISION,AMBIGUOUS,false,entitlement to the lawyer's fee and its assessment,other,OPEN_TEXTURED_STANDARD,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",23,285,48,59.6,23.5,0.4,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_law:42,commercial_courts_law,42,DISPUTE_DECISION,AMBIGUOUS,false,the evidentiary weight of official and private papers,other,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",43,279,34,64.2,51.6,5.7,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_law:22,commercial_courts_law,22,INSTITUTIONAL_OPERATION,AMBIGUOUS,false,referral to chambers and the defence memo deadline,other,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",22,274,77,46.0,25.5,3.6,contemporary_5y (1442-1446); rank column is 1444-1446
sharia_procedure_law:92,sharia_procedure_law,92,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,the modes of discontinuing a claim,procedural_bar,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",28,260,6,7.3,7.3,0.0,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_implementing_regulation:51,commercial_courts_implementing_regulation,51,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,which claims must be filed by a lawyer,appeal_finality,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",24,251,36,33.9,23.9,4.0,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_law:20,commercial_courts_law,20,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,what the claim form must contain,case_management,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",32,237,121,5.9,3.4,1.7,contemporary_5y (1442-1446); rank column is 1444-1446
sharia_procedure_law:200,sharia_procedure_law,200,INSTITUTIONAL_OPERATION,MIXED,false,the grounds for a petition to reopen,attendance_default,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",30,236,131,16.5,8.5,3.0,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:2,evidence_law,2,DISPUTE_DECISION,AMBIGUOUS,false,the claimant proves what he claims,other,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",26,235,82,31.9,19.1,12.3,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:103,evidence_law,103,DISPUTE_DECISION,MIXED,false,"attendance for the oath, and نكول decides",attendance_default,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",27,229,17,40.6,21.4,1.7,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_implementing_regulation:137,commercial_courts_implementing_regulation,137,MIXED,AMBIGUOUS,false,an attendance rule whose inference bears on the contested fact,other,OPEN_TEXTURED_STANDARD,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",29,225,0,84.4,13.3,1.3,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_law:17,commercial_courts_law,17,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,venue,jurisdiction,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",35,206,54,23.3,19.4,0.5,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_law:40,commercial_courts_law,40,DISPUTE_DECISION,INSTITUTIONAL_OPERATION,true,"when an admission is judicial, and an admission decides the claim",case_management,DEFINITION_STATUS,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",44,195,24,26.7,16.9,6.2,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_implementing_regulation:108,commercial_courts_implementing_regulation,108,INSTITUTIONAL_OPERATION,AMBIGUOUS,false,the urgent application is examined without the merits,other,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",33,187,8,5.9,0.0,0.0,contemporary_5y (1442-1446); rank column is 1444-1446
arbitration_law:8,arbitration_law,8,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,which court hears an annulment action,appeal_finality,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",31,184,9,2.7,2.7,0.0,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_implementing_regulation:16,commercial_courts_implementing_regulation,16,INSTITUTIONAL_OPERATION,AMBIGUOUS,false,what may be delegated to the administration,other,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",71,177,9,3.4,0.6,2.8,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_implementing_regulation:59,commercial_courts_implementing_regulation,59,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,how prior recourse to mediation is proved,case_management,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",73,171,13,1.8,1.8,0.0,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_law:2,commercial_courts_law,2,INSTITUTIONAL_OPERATION,AMBIGUOUS,false,the scope of the statute and its regulation,other,DEFINITION_STATUS,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",37,170,685,51.2,2.9,0.6,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:26,evidence_law,26,DISPUTE_DECISION,DISPUTE_DECISION,false,the official document is conclusive against all,proof_rules,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",34,169,23,76.3,73.4,1.2,contemporary_5y (1442-1446); rank column is 1444-1446
companies_law:53,companies_law,53,,,,,other,,outside the classified frame (fewer than 30 court-citing judgments in 1442-1446),85,157,5,51.6,33.1,1.3,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:18,evidence_law,18,DISPUTE_DECISION,DISPUTE_DECISION,false,an admission binds and is indivisible,proof_rules,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",36,153,66,39.9,32.7,2.6,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:93,evidence_law,93,DISPUTE_DECISION,DISPUTE_DECISION,false,the oath goes to the stronger of the two litigants,proof_rules,OPEN_TEXTURED_STANDARD,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",38,149,46,34.9,22.8,0.7,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:122,evidence_law,122,INSTITUTIONAL_OPERATION,DISPUTE_DECISION,true,who bears the expert's fee -- costs administration,proof_rules,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",39,146,28,37.7,30.1,2.7,contemporary_5y (1442-1446); rank column is 1444-1446
sharia_procedure_law:30,sharia_procedure_law,30,INSTITUTIONAL_OPERATION,AMBIGUOUS,false,ancillary jurisdiction,other,OPEN_TEXTURED_STANDARD,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",81,140,17,2.9,2.1,0.0,contemporary_5y (1442-1446); rank column is 1444-1446
companies_law:52,companies_law,52,,,,,other,,outside the classified frame (fewer than 30 court-citing judgments in 1442-1446),41,139,76,5.8,5.0,0.0,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:92,evidence_law,92,DISPUTE_DECISION,DISPUTE_DECISION,false,defines the decisive and the supplementary oath,proof_rules,DEFINITION_STATUS,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",42,137,19,30.7,16.8,4.4,contemporary_5y (1442-1446); rank column is 1444-1446
sharia_procedure_law:35,sharia_procedure_law,35,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,jurisdiction of the commercial courts,jurisdiction,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",54,132,12,9.1,3.8,0.0,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_law:8,commercial_courts_law,8,INSTITUTIONAL_OPERATION,AMBIGUOUS,false,delegation of procedures to the implementing regulation,other,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",67,131,17,6.9,3.1,2.3,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_law:19,commercial_courts_law,19,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,the fifteen-day pre-action notice,case_management,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",83,126,332,3.2,2.4,0.8,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_implementing_regulation:90,commercial_courts_implementing_regulation,90,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,the agenda of the preparatory hearing,case_management,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",60,126,4974,19.0,14.3,2.4,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_implementing_regulation:56,commercial_courts_implementing_regulation,56,INSTITUTIONAL_OPERATION,AMBIGUOUS,false,claims filed contrary to arts. 51-52 are inadmissible,other,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",46,125,4,32.0,20.0,6.4,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:97,evidence_law,97,DISPUTE_DECISION,DISPUTE_DECISION,false,"the decisive oath, its return, and نكول",proof_rules,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",45,125,13,38.4,11.2,2.4,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:98,evidence_law,98,DISPUTE_DECISION,DISPUTE_DECISION,false,"swearing wins, نكول loses",proof_rules,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",47,120,6,38.3,15.8,5.8,contemporary_5y (1442-1446); rank column is 1444-1446
sharia_procedure_law:41,sharia_procedure_law,41,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,what the claim form must contain,case_management,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",69,117,58,3.4,3.4,0.0,contemporary_5y (1442-1446); rank column is 1444-1446
civil_transactions_law:120,civil_transactions_law,120,DISPUTE_DECISION,AMBIGUOUS,false,the general tort clause,other,OPEN_TEXTURED_STANDARD,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",48,116,31,28.4,10.3,6.0,contemporary_5y (1442-1446); rank column is 1444-1446
sharia_procedure_law:128,sharia_procedure_law,128,INSTITUTIONAL_OPERATION,DISPUTE_DECISION,false,the appointment of an expert,proof_rules,DUTY_OR_POWER_WITHOUT_DECISION_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",56,116,3,69.0,56.0,1.7,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:16,evidence_law,16,DISPUTE_DECISION,DISPUTE_DECISION,false,the forms of admission and when it is not accepted,proof_rules,OPEN_TEXTURED_STANDARD,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",50,114,40,34.2,22.8,1.8,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:105,evidence_law,105,DISPUTE_DECISION,DISPUTE_DECISION,false,"incomplete proof, supplementary oath, judgment follows",proof_rules,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",49,114,25,35.1,26.3,4.4,contemporary_5y (1442-1446); rank column is 1444-1446
sharia_procedure_law:66,sharia_procedure_law,66,INSTITUTIONAL_OPERATION,AMBIGUOUS,false,the judge must have the claim stated before proceeding,other,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",58,113,151,34.5,30.1,0.0,contemporary_5y (1442-1446); rank column is 1444-1446
evidence_law:22,evidence_law,22,INSTITUTIONAL_OPERATION,AMBIGUOUS,false,who is interrogated where a party lacks capacity,other,SELF_SUFFICIENT_RULE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",51,112,7,38.4,27.7,0.0,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_implementing_regulation:215,commercial_courts_implementing_regulation,215,INSTITUTIONAL_OPERATION,INSTITUTIONAL_OPERATION,false,which appeals are heard without a hearing,appeal_finality,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",52,109,1,33.9,27.5,4.6,contemporary_5y (1442-1446); rank column is 1444-1446
companies_law:152,companies_law,152,,,,,other,,outside the classified frame (fewer than 30 court-citing judgments in 1442-1446),53,108,53,2.8,2.8,0.0,contemporary_5y (1442-1446); rank column is 1444-1446
trade_names_law:9,trade_names_law,9,,,,,,,outside the classified frame (fewer than 30 court-citing judgments in 1442-1446),57,108,69,31.5,11.1,1.9,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_law:215,commercial_courts_law,215,,,,,,,outside the classified frame (fewer than 30 court-citing judgments in 1442-1446),55,107,0,27.1,14.0,2.8,contemporary_5y (1442-1446); rank column is 1444-1446
sharia_procedure_law:78,sharia_procedure_law,78,INSTITUTIONAL_OPERATION,AMBIGUOUS,false,the duty to transfer to the competent court,other,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",61,98,12,37.8,33.7,2.0,contemporary_5y (1442-1446); rank column is 1444-1446
sharia_procedure_law:73,sharia_procedure_law,73,INSTITUTIONAL_OPERATION,AMBIGUOUS,false,conduct of the hearing,other,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",62,97,43,68.0,66.0,1.0,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_implementing_regulation:240,commercial_courts_implementing_regulation,240,INSTITUTIONAL_OPERATION,AMBIGUOUS,false,mediation before small claims,other,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",,96,14,3.1,3.1,3.1,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_implementing_regulation:81,commercial_courts_implementing_regulation,81,INSTITUTIONAL_OPERATION,AMBIGUOUS,false,the defence memo and its deadline,other,INSTITUTIONAL_DIRECTIVE,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",59,94,5,28.7,5.3,0.0,contemporary_5y (1442-1446); rank column is 1444-1446
commercial_courts_law:36,commercial_courts_law,36,INSTITUTIONAL_OPERATION,DISPUTE_DECISION,false,what counts as an urgent application,enforcement,DEFINITION_STATUS,"hand label, one reader, from enacted text and legal function; NOT blind to supplementation rates; sensitivity label in function_rule_label is a mechanical map from function.py, assigned before any rate existed",68,92,55,2.2,0.0,0.0,contemporary_5y (1442-1446); rank column is 1444-1446
