article_id,instrument,article,official_text_ref,completeness_class,classification,class_ambiguous,rate_seen_before_classifying,court_judgments,court_nonstatutory_rate,court_named_fiqh_rate,party_judgments,party_nonstatutory_rate,operational_core_rank,window
commercial_courts_law:1,commercial_courts_law,1,corpus_registry.json / tracks / commercial_courts_law / article 1,DEFINITION_STATUS,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,528,42.2,11.2,51,11.8,11,contemporary_5y (1442-1446)
sharia_procedure_law:31,sharia_procedure_law,31,corpus_registry.json / tracks / sharia_procedure_law / article 31,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,522,18.6,15.7,29,27.6,15,contemporary_5y (1442-1446)
commercial_courts_law:79,commercial_courts_law,79,corpus_registry.json / tracks / commercial_courts_law / article 79,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,503,26.4,11.5,16,,13,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:11,commercial_courts_implementing_regulation,11,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 11,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,398,11.1,8.3,26,57.7,26,contemporary_5y (1442-1446)
evidence_law:3,evidence_law,3,corpus_registry.json / tracks / evidence_law / article 3,OPEN_TEXTURED_STANDARD,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",true,true,397,46.9,22.9,64,64.1,16,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:58,commercial_courts_implementing_regulation,58,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 58,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,374,1.1,0.3,68,42.6,41,contemporary_5y (1442-1446)
evidence_law:1,evidence_law,1,corpus_registry.json / tracks / evidence_law / article 1,DEFINITION_STATUS,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,356,71.6,62.6,20,45.0,17,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:64,commercial_courts_implementing_regulation,64,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 64,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,329,72.3,55.9,24,62.5,22,contemporary_5y (1442-1446)
commercial_courts_law:29,commercial_courts_law,29,corpus_registry.json / tracks / commercial_courts_law / article 29,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,320,85.9,2.8,10,,21,contemporary_5y (1442-1446)
evidence_law:110,evidence_law,110,corpus_registry.json / tracks / evidence_law / article 110,DUTY_OR_POWER_WITHOUT_DECISION_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,314,48.7,25.5,35,48.6,19,contemporary_5y (1442-1446)
commercial_courts_law:9,commercial_courts_law,9,corpus_registry.json / tracks / commercial_courts_law / article 9,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,312,23.4,12.5,10,,20,contemporary_5y (1442-1446)
law_practice_law:26,law_practice_law,26,corpus_registry.json / tracks / law_practice_law / article 26,OPEN_TEXTURED_STANDARD,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,285,59.6,23.5,48,60.4,24,contemporary_5y (1442-1446)
commercial_courts_law:42,commercial_courts_law,42,corpus_registry.json / tracks / commercial_courts_law / article 42,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,279,64.2,51.6,34,61.8,43,contemporary_5y (1442-1446)
commercial_courts_law:22,commercial_courts_law,22,corpus_registry.json / tracks / commercial_courts_law / article 22,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,274,46.0,25.5,77,9.1,25,contemporary_5y (1442-1446)
sharia_procedure_law:92,sharia_procedure_law,92,corpus_registry.json / tracks / sharia_procedure_law / article 92,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,260,7.3,7.3,6,,30,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:51,commercial_courts_implementing_regulation,51,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 51,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,251,33.9,23.9,36,44.4,23,contemporary_5y (1442-1446)
commercial_courts_law:20,commercial_courts_law,20,corpus_registry.json / tracks / commercial_courts_law / article 20,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,237,5.9,3.4,121,40.5,32,contemporary_5y (1442-1446)
sharia_procedure_law:200,sharia_procedure_law,200,corpus_registry.json / tracks / sharia_procedure_law / article 200,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,236,16.5,8.5,131,20.6,28,contemporary_5y (1442-1446)
evidence_law:2,evidence_law,2,corpus_registry.json / tracks / evidence_law / article 2,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,235,31.9,19.1,82,57.3,27,contemporary_5y (1442-1446)
evidence_law:103,evidence_law,103,corpus_registry.json / tracks / evidence_law / article 103,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",true,false,229,40.6,21.4,17,,29,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:137,commercial_courts_implementing_regulation,137,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 137,OPEN_TEXTURED_STANDARD,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,225,84.4,13.3,0,,31,contemporary_5y (1442-1446)
commercial_courts_law:17,commercial_courts_law,17,corpus_registry.json / tracks / commercial_courts_law / article 17,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,206,23.3,19.4,54,35.2,37,contemporary_5y (1442-1446)
commercial_courts_law:40,commercial_courts_law,40,corpus_registry.json / tracks / commercial_courts_law / article 40,DEFINITION_STATUS,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",true,false,195,26.7,16.9,24,54.2,45,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:108,commercial_courts_implementing_regulation,108,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 108,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,187,5.9,0.0,8,,34,contemporary_5y (1442-1446)
arbitration_law:8,arbitration_law,8,corpus_registry.json / tracks / arbitration_law / article 8,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,184,2.7,2.7,9,,33,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:16,commercial_courts_implementing_regulation,16,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 16,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,177,3.4,0.6,9,,,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:59,commercial_courts_implementing_regulation,59,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 59,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,171,1.8,1.8,13,,,contemporary_5y (1442-1446)
commercial_courts_law:2,commercial_courts_law,2,corpus_registry.json / tracks / commercial_courts_law / article 2,DEFINITION_STATUS,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,170,51.2,2.9,685,28.9,38,contemporary_5y (1442-1446)
evidence_law:26,evidence_law,26,corpus_registry.json / tracks / evidence_law / article 26,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,169,76.3,73.4,23,60.9,35,contemporary_5y (1442-1446)
companies_law:53,companies_law,53,corpus_registry.json / tracks / companies_law / article 53,,not classified: outside the n>=30 frame,,,157,51.6,33.1,5,,,contemporary_5y (1442-1446)
evidence_law:18,evidence_law,18,corpus_registry.json / tracks / evidence_law / article 18,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,153,39.9,32.7,66,50.0,39,contemporary_5y (1442-1446)
evidence_law:93,evidence_law,93,corpus_registry.json / tracks / evidence_law / article 93,OPEN_TEXTURED_STANDARD,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,149,34.9,22.8,46,30.4,40,contemporary_5y (1442-1446)
evidence_law:122,evidence_law,122,corpus_registry.json / tracks / evidence_law / article 122,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,146,37.7,30.1,28,46.4,36,contemporary_5y (1442-1446)
sharia_procedure_law:30,sharia_procedure_law,30,corpus_registry.json / tracks / sharia_procedure_law / article 30,OPEN_TEXTURED_STANDARD,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,140,2.9,2.1,17,,,contemporary_5y (1442-1446)
companies_law:52,companies_law,52,corpus_registry.json / tracks / companies_law / article 52,,not classified: outside the n>=30 frame,,,139,5.8,5.0,76,19.7,18,contemporary_5y (1442-1446)
evidence_law:92,evidence_law,92,corpus_registry.json / tracks / evidence_law / article 92,DEFINITION_STATUS,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,137,30.7,16.8,19,,42,contemporary_5y (1442-1446)
sharia_procedure_law:35,sharia_procedure_law,35,corpus_registry.json / tracks / sharia_procedure_law / article 35,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,132,9.1,3.8,12,,,contemporary_5y (1442-1446)
commercial_courts_law:8,commercial_courts_law,8,corpus_registry.json / tracks / commercial_courts_law / article 8,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,131,6.9,3.1,17,,,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:90,commercial_courts_implementing_regulation,90,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 90,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,126,19.0,14.3,4974,13.6,,contemporary_5y (1442-1446)
commercial_courts_law:19,commercial_courts_law,19,corpus_registry.json / tracks / commercial_courts_law / article 19,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,126,3.2,2.4,332,37.3,,contemporary_5y (1442-1446)
evidence_law:97,evidence_law,97,corpus_registry.json / tracks / evidence_law / article 97,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,125,38.4,11.2,13,,46,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:56,commercial_courts_implementing_regulation,56,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 56,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,125,32.0,20.0,4,,48,contemporary_5y (1442-1446)
evidence_law:98,evidence_law,98,corpus_registry.json / tracks / evidence_law / article 98,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,120,38.3,15.8,6,,47,contemporary_5y (1442-1446)
sharia_procedure_law:41,sharia_procedure_law,41,corpus_registry.json / tracks / sharia_procedure_law / article 41,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,117,3.4,3.4,58,29.3,,contemporary_5y (1442-1446)
sharia_procedure_law:128,sharia_procedure_law,128,corpus_registry.json / tracks / sharia_procedure_law / article 128,DUTY_OR_POWER_WITHOUT_DECISION_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,116,69.0,56.0,3,,,contemporary_5y (1442-1446)
civil_transactions_law:120,civil_transactions_law,120,corpus_registry.json / tracks / civil_transactions_law / article 120,OPEN_TEXTURED_STANDARD,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,116,28.4,10.3,31,64.5,49,contemporary_5y (1442-1446)
evidence_law:16,evidence_law,16,corpus_registry.json / tracks / evidence_law / article 16,OPEN_TEXTURED_STANDARD,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",true,false,114,34.2,22.8,40,62.5,,contemporary_5y (1442-1446)
evidence_law:105,evidence_law,105,corpus_registry.json / tracks / evidence_law / article 105,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,114,35.1,26.3,25,48.0,50,contemporary_5y (1442-1446)
sharia_procedure_law:66,sharia_procedure_law,66,corpus_registry.json / tracks / sharia_procedure_law / article 66,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,113,34.5,30.1,151,42.4,,contemporary_5y (1442-1446)
evidence_law:22,evidence_law,22,corpus_registry.json / tracks / evidence_law / article 22,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,112,38.4,27.7,7,,,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:215,commercial_courts_implementing_regulation,215,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 215,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,109,33.9,27.5,1,,,contemporary_5y (1442-1446)
trade_names_law:9,trade_names_law,9,corpus_registry.json / tracks / trade_names_law / article 9,,not classified: outside the n>=30 frame,,,108,31.5,11.1,69,21.7,,contemporary_5y (1442-1446)
companies_law:152,companies_law,152,corpus_registry.json / tracks / companies_law / article 152,,not classified: outside the n>=30 frame,,,108,2.8,2.8,53,15.1,44,contemporary_5y (1442-1446)
commercial_courts_law:215,commercial_courts_law,215,corpus_registry.json / tracks / commercial_courts_law / article 215,,not classified: outside the n>=30 frame,,,107,27.1,14.0,0,,,contemporary_5y (1442-1446)
sharia_procedure_law:78,sharia_procedure_law,78,corpus_registry.json / tracks / sharia_procedure_law / article 78,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,98,37.8,33.7,12,,,contemporary_5y (1442-1446)
sharia_procedure_law:73,sharia_procedure_law,73,corpus_registry.json / tracks / sharia_procedure_law / article 73,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,97,68.0,66.0,43,53.5,,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:240,commercial_courts_implementing_regulation,240,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 240,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,96,3.1,3.1,14,,,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:81,commercial_courts_implementing_regulation,81,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 81,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,94,28.7,5.3,5,,,contemporary_5y (1442-1446)
commercial_courts_law:36,commercial_courts_law,36,corpus_registry.json / tracks / commercial_courts_law / article 36,DEFINITION_STATUS,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",true,false,92,2.2,0.0,55,9.1,,contemporary_5y (1442-1446)
sharia_procedure_law:16,sharia_procedure_law,16,corpus_registry.json / tracks / sharia_procedure_law / article 16,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,88,4.5,3.4,1,,,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:243,commercial_courts_implementing_regulation,243,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 243,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,88,31.8,19.3,27,22.2,,contemporary_5y (1442-1446)
evidence_law:109,evidence_law,109,corpus_registry.json / tracks / evidence_law / article 109,DUTY_OR_POWER_WITHOUT_DECISION_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,85,45.9,0.0,12,,,contemporary_5y (1442-1446)
evidence_law:5,evidence_law,5,corpus_registry.json / tracks / evidence_law / article 5,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,84,6.0,1.2,17,,,contemporary_5y (1442-1446)
evidence_law:31,evidence_law,31,corpus_registry.json / tracks / evidence_law / article 31,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,82,37.8,25.6,28,60.7,,contemporary_5y (1442-1446)
commercial_courts_law:21,commercial_courts_law,21,corpus_registry.json / tracks / commercial_courts_law / article 21,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,79,0.0,0.0,25,44.0,,contemporary_5y (1442-1446)
sharia_procedure_law:67,sharia_procedure_law,67,corpus_registry.json / tracks / sharia_procedure_law / article 67,EXTERNAL_REFERRAL,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,78,25.6,20.5,37,51.4,,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:21,commercial_courts_implementing_regulation,21,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 21,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,77,3.9,0.0,2,,,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:76,commercial_courts_implementing_regulation,76,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 76,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,76,3.9,1.3,20,35.0,,contemporary_5y (1442-1446)
arbitration_law:11,arbitration_law,11,corpus_registry.json / tracks / arbitration_law / article 11,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,76,9.2,9.2,41,14.6,,contemporary_5y (1442-1446)
sharia_procedure_law:75,sharia_procedure_law,75,corpus_registry.json / tracks / sharia_procedure_law / article 75,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,73,9.6,8.2,48,25.0,,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:8,commercial_courts_implementing_regulation,8,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 8,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,72,0.0,0.0,4,,,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:133,commercial_courts_implementing_regulation,133,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 133,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,72,47.2,30.6,7,,,contemporary_5y (1442-1446)
civil_transactions_law:720,civil_transactions_law,720,corpus_registry.json / tracks / civil_transactions_law / article 720,EXTERNAL_REFERRAL,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,72,16.7,4.2,9,,,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:69,commercial_courts_implementing_regulation,69,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 69,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,71,4.2,4.2,25,12.0,,contemporary_5y (1442-1446)
arbitration_law:51,arbitration_law,51,corpus_registry.json / tracks / arbitration_law / article 51,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",true,false,70,4.3,4.3,5,,,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:104,commercial_courts_implementing_regulation,104,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 104,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,70,0.0,0.0,5,,,contemporary_5y (1442-1446)
law_practice_implementing_regulation:28,law_practice_implementing_regulation,28,corpus_registry.json / tracks / law_practice_implementing_regulation / article 28,,not classified: outside the n>=30 frame,,,70,50.0,45.7,15,,,contemporary_5y (1442-1446)
commercial_courts_law:3,commercial_courts_law,3,corpus_registry.json / tracks / commercial_courts_law / article 3,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,67,35.8,28.4,6,,,contemporary_5y (1442-1446)
sharia_procedure_law:1,sharia_procedure_law,1,corpus_registry.json / tracks / sharia_procedure_law / article 1,EXTERNAL_REFERRAL,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,65,13.8,13.8,19,,,contemporary_5y (1442-1446)
sharia_procedure_implementing_regulation:78,sharia_procedure_implementing_regulation,78,corpus_registry.json / tracks / sharia_procedure_implementing_regulation / article 78,,not classified: outside the n>=30 frame,,,65,36.9,23.1,5,,,contemporary_5y (1442-1446)
commercial_courts_law:58,commercial_courts_law,58,corpus_registry.json / tracks / commercial_courts_law / article 58,OPEN_TEXTURED_STANDARD,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,true,64,40.6,28.1,754,15.1,,contemporary_5y (1442-1446)
commercial_courts_law:164,commercial_courts_law,164,corpus_registry.json / tracks / commercial_courts_law / article 164,,not classified: outside the n>=30 frame,,,62,59.7,53.2,34,35.3,,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:245,commercial_courts_implementing_regulation,245,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 245,SELF_SUFFICIENT_RULE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,61,14.8,11.5,30,10.0,,contemporary_5y (1442-1446)
sharia_procedure_law:68,sharia_procedure_law,68,corpus_registry.json / tracks / sharia_procedure_law / article 68,OPEN_TEXTURED_STANDARD,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,61,24.6,19.7,7,,,contemporary_5y (1442-1446)
law_practice_law:28,law_practice_law,28,corpus_registry.json / tracks / law_practice_law / article 28,OPEN_TEXTURED_STANDARD,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,60,60.0,43.3,6,,,contemporary_5y (1442-1446)
sharia_procedure_law:11,sharia_procedure_law,11,corpus_registry.json / tracks / sharia_procedure_law / article 11,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,60,0.0,0.0,7,,,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:237,commercial_courts_implementing_regulation,237,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 237,DEFINITION_STATUS,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,58,12.1,6.9,2,,,contemporary_5y (1442-1446)
commercial_courts_implementing_regulation:31,commercial_courts_implementing_regulation,31,corpus_registry.json / tracks / commercial_courts_implementing_regulation / article 31,INSTITUTIONAL_DIRECTIVE,"hand, one reader, blind to all rates; PROVISIONAL_PENDING_SECOND_READER",false,false,56,5.4,0.0,34,41.2,,contemporary_5y (1442-1446)
