review_priority,article_number,review_bucket,original_difference_type,similarity,candidate_text_length,ocr_text_length,candidate_hash,official_source_hash,verification_action_allowed,article_title_ar,suspected_issue,recommended_action
P1,76,low_similarity_manual_review,substantive_difference,0.1116,888,896,3589b764ceb1dfc031b661aaa065a9adbb3f1e8f6168492306bed32306cda486,62a4b3b90d117f4570049335488a0204cf1d7e3b270ffb787af21b0aed821c49,False,مكافأة أعضاء مجلس الإدارة,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,88,low_similarity_manual_review,substantive_difference,0.5243,745,746,c42b635122ce6c10a4203bbad52c22534924185c687f8f3b0f7644a4e44caac6,527adb472cce49ee94be8c1c63c9da4a2165a184d38318f31f0131a33f467cbc,False,اجتماع الجمعية العامة العادية,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,91,low_similarity_manual_review,substantive_difference,0.4608,1069,1140,e684aceb8b8c202efa8866c2593c21f7d16055aa89a9cd0e061817474a1f2a40,1399b7a99319f2679e6fa2f435cb3904e9bb7f22ab2c660add1a07fb7a8ff4ea,False,الدعوة إلى اجتماع الجمعية,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,92,low_similarity_manual_review,substantive_difference,0.2901,850,936,d69f29ef23bfdb348e1580172f84b7e7357b6469f4c9b4b11a707c6ddf409063,55d736f524e88ca616756e46180f28482fc19b41e2797b74753cb13cf60ef8ff,False,النصاب اللازم لعقد اجتماع الجمعية العامة العادية,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,93,low_similarity_manual_review,substantive_difference,0.2902,1407,1565,1a2caa6f25e27daeba1b54f4689d0e525d677d2bb348748d7f231b84e5540b51,364fb14d44479d149e9a3b49186d84047807f8b1149c10524b539f25c18f65d3,False,النصاب اللازم لعقد اجتماع الجمعية العامة غير العادية,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,97,low_similarity_manual_review,substantive_difference,0.4792,445,444,e904a550be9d5dcebf1d99f626d7d540ea82eee98b78c8914eb00baed1e61fa8,6b36bfdbbcaa563aa36596a224dcfef152aaef063e7f09cbf91ca52d7ab567b9,False,محضر اجتماع الجمعية,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,105,low_similarity_manual_review,substantive_difference,0.5676,480,493,b2f2871d4c2a682dd16b14f614124148eb8c624040adcf2526ea4f5a6cf1c58d,a941c97e32651549a1e582a945896bc3d5711de098a083844c22ee52d09d9ca6,False,إصدار أسهم الشركة,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,110,low_similarity_manual_review,substantive_difference,0.115,848,854,9594a0357987bb60bd4e1b874492f7c9714732e0497a278391a57b3e8b433552,d63b75022c57d66d81bf55648a58291f7a8afcfb5f88e38879b72d547394057b,False,تعديل الحقوق أو الالتزامات المتصلة بالأسهم,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,113,low_similarity_manual_review,substantive_difference,0.5389,492,493,050ebf8f90580fee667aea5e8fdd4dd894862adef821af26bdde0bd7ed4191b5,e68a2a79a7b61ebb7a96151178eb659fcd6aac8bb6d29c3bfef38428096d35cc,False,الإلزام ببيع الأسهم,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,117,low_similarity_manual_review,substantive_difference,0.2249,842,819,2ee1eca347e1c7638590d9043af06cf5ad18620fa993e5cd7e3ec8c54e9dfd19,5233ddb558150c17acfc50fc33bcd1cb76f711ac80084338d3510242ce77fe57,False,إصدار أدوات الدين والصكوك التمويلية,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,122,low_similarity_manual_review,substantive_difference,0.4739,319,324,93768a56e6c920f28c3a21131922ba2d44db84188ab892a3996f8f51d9ab57f1,da7d3e8425c25945f3fc94c5f1bb631b8df72ddfee1f8b7f8cc92142762f658c,False,تزويد المساهمين بالقوائم المالية وإيداعها,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,123,low_similarity_manual_review,substantive_difference,0.1379,442,512,290bb6cfe3d3b95084ab37951de9aee21df0582317040416e5f8d5a625e2694a,b92e8db20ad537a24a80a9894299cebb89bb17c87b595eeec34a998c33464c2f,False,تكوين الاحتياطيات,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,126,low_similarity_manual_review,substantive_difference,0.3539,783,852,b0395b6be6f02854c26c91fa4e934bd7f29248eae404bf741d2b533035dad704,e89193027e510526dc4cb8d8e4a451632eaa0b294be09a66e301ab6121d8b7de,False,طرق زيادة رأس المال,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,127,low_similarity_manual_review,substantive_difference,0.5453,764,896,ba0928fda7ff41ae860baeb156a5c584b4bb47c82f3d59a0e5f031d42ee8677f,d7357a271e537ffef3d365eca815a15dc0658a7f8bacf8452df395f6b782c564,False,زيادة رأس المال المصدر أو المصرح به,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,138,low_similarity_manual_review,substantive_difference,0.1883,1010,1132,0cab5fd6f3842f09125b3832443608fcb33af5b992bce0acafafa4a31f31a5a4,4b1c762b7825153ffbc424bbdc1ff60785f79d4e81cad02e577c2ea3151054c3,False,مفهوم شركة المساهمة المبسطة,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,140,low_similarity_manual_review,substantive_difference,0.0459,1331,1381,c591631cf159d9edf6fa474d4f0a7fde8cbd9b87aa02238f023510ccdbbf88dd,49b6dedc442d164f1935d4e5afef6b23d2d6faa16da867175709be61f578b28a,False,بيانات نظام الشركة الأساس,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,141,low_similarity_manual_review,substantive_difference,0.5413,1150,1309,e87a1913646a441ff6fa8ef25742c09d2d5384b5abcba0048da616f7c7026103,39c292bbbeef3fd4511724d5257777d4e76478170d4dbd953d542c8fb1bf0dd6,False,تقييم الحصص العينية,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,146,low_similarity_manual_review,substantive_difference,0.5937,1378,1466,106b4914a72e97336a183f4a5ce36faf4f84d9734cb88f3c3c5b148dedd271fd,52a9a2b6f97e5848af48ba3edad330def1c3b3fc7734b67eae729ac4c69d5d86,False,الدعوة إلى اجتماع المساهمين,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,147,low_similarity_manual_review,substantive_difference,0.0346,428,511,5b44edea3530005663481d08a26fc999889d91e594f2529576cc5d28222325ef,8a919f3c0120f1862b6aa6ce6a3a1cb803724887d41e62c832cc7947e4d1582a,False,القوائم المالية وتقرير عن نشاط الشركة,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,149,low_similarity_manual_review,substantive_difference,0.4849,687,764,465337bb4c810186ed58f372173b6a8b4195ea0d9bd2bb844ed45d1987d8013a,66070d4579dcc5ca3c05dacc345eccc58c29a11fdfb2de72d23c4bf26348c216,False,إصدار القرار بالتمرير,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,150,low_similarity_manual_review,substantive_difference,0.3427,289,287,8703813463b508e1ead1d805354876703869bcade441886399b12d0d11b7570c,c5f019519879be7e7d7f587ef4cec0cff9a586e9e94f20cc90439f10670330db,False,شركة المساهمة المبسطة من شخص واحد,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,158,low_similarity_manual_review,substantive_difference,0.2651,910,964,aadbf798a468df421e7164e7a1bf88532a74f4c8e21e6894b535f366f2aec5da,a183257832b5238aa7300b4c3c47cdfb2847c6b05a9568a0dcc8425ddab43eca,False,بيانات عقد التأسيس,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,166,low_similarity_manual_review,substantive_difference,0.459,1062,1226,2544b70779cac352fad492b17c722400a43f49781482f70bab35ec3f8f06fe3b,030c75e70ffe871b6c3d81d2a1f96c63762e43cf2e954796bff7c7a81cc2a6bb,False,إصدار قرارات الشركاء,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,177,low_similarity_manual_review,substantive_difference,0.5509,404,405,8a80a933a823d9f1bd3335cf1b1f8878b81011c5395425db732e060462469bed,702349f994884991321e2373fbcecceba6f2b22bed30f2bb34d2a068b6d4d235,False,تكوين الاحتياطيات,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,178,low_similarity_manual_review,substantive_difference,0.3422,1263,1416,60fd8b03539a23f1d03b22cf786fb15ea9118d28130d59eedcf5230b4cf66bfa,4e3e8d1b3f3ee19252b11fe2daa35c35a48b10fac3288d554d39722a8122e56f,False,التنازل عن الحصص,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,181,low_similarity_manual_review,substantive_difference,0.4421,430,512,c1e73a9616917e13894d10a6654dd95d42432613d4a01f2536723930a26e2a81,2b19aec8ca0d47d921d41753802fe357282c51847995c983bb9aa3c25766df71,False,الإلزام ببيع الحصص,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,183,low_similarity_manual_review,substantive_difference,0.3852,700,787,c19827c45cfdf413105a451296388240d305dea61dfb2c476ecdef321bdb9233,634b6c2af7817da6b8fe1333c8aa7405f75fb6db01cc1cb735ab1dbf25c096c8,False,مدّ أجل الشركة,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,187,low_similarity_manual_review,substantive_difference,0.3771,211,210,bc09029b80f68f8e8faa9ae023a7c74b5b3fb415d4d11ee0a74384e2d5596945,3b7c521176548900bc2b01075407fe7133f481b1869c6a2bf72107146644e9ac,False,نفاذ قرار تعديل النظام الأساس للشركة غير الربحية العامة,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,188,low_similarity_manual_review,substantive_difference,0.3243,1043,1189,ea9a9261db3a031a6acfd18443414baaac3aa54956262e99a230cf936e56056b,ca8e50326136219e38bf77b4116a2f7701bb88c13e62942b8b184c812363b6cd,False,العضوية في الشركة,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,196,low_similarity_manual_review,substantive_difference,0.2394,245,274,ca268eb585eb62e531869cc72233260cdf502145528292ce68ae0eecf600f716,b2f65c3bc12930af615f2e81414e0afdfa99e4b26d9e5dfba3a05fbb32a1c01c,False,الإعفاءات,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,206,low_similarity_manual_review,substantive_difference,0.36,432,446,a9c78465d3e755ac6bbb9eddce94896df3def61ee6e8a363b2c85d5080b4a117,1737099a91850f8e323f80d07e04351e75007ac83dfb00298cef9e42d0c66f66,False,ممارسة الشريك أو المساهم مهنته الحرة,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,211,low_similarity_manual_review,substantive_difference,0.5341,1333,1419,ed2d831ab5691a0a0e7f0b13457a27a0d9e4c176e588ac660d91a2a643200c0e,cfd0c309ddbcaf671f01e2381dff25b85693b755f681fd13c5eee4deab08c12a,False,فقد ترخيص ممارسة المهنة الحرة,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,212,low_similarity_manual_review,substantive_difference,0.4888,1107,1189,c7ff05ef571f6727e4a2d73b0446a31fd6c5f850476c9eebe53a1ef730272980,cec4fe01a3ade08f808dc5898fa58cffe293dee35fdd8638be4e5d8a2f70b9be,False,وفاة الشريك أو المساهم,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,218,low_similarity_manual_review,substantive_difference,0.5917,753,818,93b025ae348407c7d110ba232bdfdcbce8a361b998d714dd11d62dbbc3948a9e,7fd97d7d11adb460fee12bc30cad0d3392195caca951e562d36a425d3addfa75,False,امتلاك الحصص أو الأسهم في الشركة القابضة,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,221,low_similarity_manual_review,substantive_difference,0.1231,494,505,7c8a3ca0c530a1e124602399650d76d955fffef36d8cbfb7211b4ec67f914355,2c2471611ffd1cdc5bac31c0debf481865c61e0851d211b15155067e2d3d2670,False,تحول الشركة غير الربحية,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,228,low_similarity_manual_review,substantive_difference,0.2076,203,284,27ce5d18d80b53f391829ca48fdfb7855595e866be4baad31c0536bbf98b70ad,75abf66ff0eaf2b30d6f0a62397311ca91fcfe2d516185a17334f0e2c9cf50be,False,نفاذ قرار الاندماج,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,248,low_similarity_manual_review,substantive_difference,0.3277,1300,1394,6e3169afa91a412f580117907116d7a111af60e9a65af8e9fcbc305568230999,0b00eda4df8397c408cbfeead941302a039a91f414ff3b1e55539d71eee1d588,False,قرار تعيين المصفي,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,260,low_similarity_manual_review,substantive_difference,0.335,1185,1297,a413cde596039c1b36299881997c664b6717bda2fbc75473d419878c5cd37a89,a071932a2dd1105f6497adbae5925ed8a3130030f526db284d31335b09eeb9c8,False,عقوبات الجرائم الجسيمة,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,261,low_similarity_manual_review,substantive_difference,0.4376,2069,2120,e5723b6bc736cb866660267d1e062841c1ec08b1eef69cbab8ca7a63e5c972ec,2f754c327e41fbdd3a3a28102dfb1a2145741ecfe06b4ff15e8ac9e1876565ed,False,عقوبات الجرائم الأقل جسامة,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,262,low_similarity_manual_review,substantive_difference,0.337,2968,3087,5d343a7c976430a754efdbcd48d4f2652a8f09de9bc98c9ae6d654dbedbba208,af38494f4321384d4cd7add33c961408b51bb8b5225466ddf3888f988eb64459,False,عقوبات المخالفات,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,264,low_similarity_manual_review,substantive_difference,0.4725,669,725,55a54c903b7d0f5b9de32b577d994fa34a952b1160ca4b18eff0a71b43d1a478,3b5cfcc59334a7200f61a8eec748ed44f30e992cb9a7968cca429eb79edbcdd2,False,الجزاءات البديلة,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,273,low_similarity_manual_review,substantive_difference,0.5408,64,178,b72bd34065f7532d7e1c56f4d7147fb87c21c8a591ae0d85199f64618c9c094d,b44e737a509ce9a33de1b04eb91073a3b36c215ac5467ccac67a14dd6f735602,False,الحصص والأسهم المملوكة لوقف,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P1,277,low_similarity_manual_review,substantive_difference,0.1219,798,804,4515d0393b094479a811d210439f73613016325a3a772094aec0e7dc09f7f70f,1817a4cae4a2c8fee5b6010999e88f19faa49532b11a3d0cd107b6c56b23cc70,False,إصدار اللوائح,تشابه منخفض — قد يكون ضجيج OCR شديدًا أو اختلافًا فعليًا. / low similarity — heavy OCR noise or a real difference.,مراجعة يدوية للنص الأصلي مقابل الصفحة الرسمية. / manual review of candidate text vs the official page.
P2,2,possible_substantive_difference_manual_review,substantive_difference,0.7443,389,539,df97175196a9240cb35c886d82a285b2b47b632150a688f69c8961fc98a38f42,3b63f87e53c9281b4e3bb2cdd92169bc3c64d4630c8453c9ecec55d3ec21eb8f,False,تعريف الشركة,قد يكون اختلافًا جوهريًا — مراجعة يدوية مطلوبة. / possible substantive difference — manual review.,مراجعة يدوية دقيقة لتحديد ما إذا كان الاختلاف حقيقيًا. / careful manual review to decide if the difference is real.
P2,8,possible_substantive_difference_manual_review,substantive_difference,0.6876,998,1011,71febfa1b2170fe8da478950140a959e78cf168137829575ec4a8bf39850fef5,1479fba31a49f99775cbce9bd3ee1199480e8449bb3fbee42767bb50fa18c8c0,False,قيد وثائق تأسيس الشركة,قد يكون اختلافًا جوهريًا — مراجعة يدوية مطلوبة. / possible substantive difference — manual review.,مراجعة يدوية دقيقة لتحديد ما إذا كان الاختلاف حقيقيًا. / careful manual review to decide if the difference is real.
P2,27,possible_substantive_difference_manual_review,substantive_difference,0.7033,1356,1499,bcfcb9d308c4d5b842f8cb2ecee3193d452d0bc289a3cae620599eebac4eef5e,20f469b6eeaf963acdf5048de03a6cd7ddb695cd16382fdaabcdc86854f4d040,False,تعارض المصالح والمنافسة واستغلال الأصول,قد يكون اختلافًا جوهريًا — مراجعة يدوية مطلوبة. / possible substantive difference — manual review.,مراجعة يدوية دقيقة لتحديد ما إذا كان الاختلاف حقيقيًا. / careful manual review to decide if the difference is real.
